id,question_id,isTrue,answer,explanation,indexation
137,28,0,Réponse 2,Explication,2
138,28,0,Réponse 3,Explication,3
139,28,0,Réponse 4,Explication,4
140,28,1,Réponse 5,Explication,5
141,29,0,Réponse 1,Explication,1
142,29,1,Réponse 2,Explication,2
143,29,0,Réponse 3,Explication,3
144,29,0,Réponse 4,Explication,4
145,29,0,Réponse 5,Explication,5
146,30,1,Réponse 1,Explication,1
147,30,0,Réponse 2,Explication,2
148,30,0,Réponse 3,Explication,3
149,30,0,Réponse 4,Explication,4
150,30,0,Réponse 5,Explication,5
151,31,1,Réponse 1,Explication,1
152,31,1,Réponse 2,Explication,2
153,31,0,Réponse 3,Explication,3
154,31,0,Réponse 4,Explication,4
155,31,0,Réponse 5,Explication,5
156,32,1,Réponse 1,Explication,1
157,32,1,Réponse 2,Explication,2
158,32,0,Réponse 3,Explication,3
159,32,0,Réponse 4,Explication,4
160,32,0,Réponse 5,Explication,5
161,33,1,Réponse 1,Explication,1
162,33,0,Réponse 2,Explication,2
163,33,0,Réponse 3,Explication,3
164,33,0,Réponse 4,Explication,4
165,33,0,Réponse 5,Explication,5
166,34,0,Réponse 1,Explication,1
167,34,0,Réponse 2,Explication,2
168,34,0,Réponse 3,Explication,3
169,34,0,Réponse 4,Explication,4
170,34,1,Réponse 5,Explication,5
171,35,0,Réponse 1,Explication,1
172,35,1,Réponse 2,Explication,2
173,35,0,Réponse 3,Explication,3
174,35,0,Réponse 4,Explication,4
175,35,1,Réponse 5,Explication,5
176,36,0,Réponse 1,Explication,1
177,36,0,Réponse 2,Explication,2
178,36,1,Réponse 3,Explication,3
179,36,0,Réponse 4,Explication,4
180,36,0,Réponse 5,Explication,5
181,37,0,Réponse 1,Explication,1
182,37,1,Réponse 2,Explication,2
183,37,0,Réponse 3,Explication,3
184,37,1,Réponse 4,Explication,4
185,37,0,Réponse 5,Explication,5
186,38,1,Réponse 1,Explication,1
187,38,0,Réponse 2,Explication,2
188,38,1,Réponse 3,Explication,3
189,38,0,Réponse 4,Explication,4
190,38,0,Réponse 5,Explication,5
191,39,0,Réponse 1,Explication,1
192,39,0,Réponse 2,Explication,2
193,39,0,Réponse 3,Explication,3
194,39,0,Réponse 4,Explication,4
195,39,1,Réponse 5,Explication,5
196,40,0,Réponse 1,Explication,1
197,40,1,Réponse 2,Explication,2
198,40,1,Réponse 3,Explication,3
199,40,0,Réponse 4,Explication,4
200,40,0,Réponse 5,Explication,5
201,41,0,Réponse 1,Explication,1
202,41,0,Réponse 2,Explication,2
203,41,1,Réponse 3,Explication,3
204,41,0,Réponse 4,Explication,4
205,41,1,Réponse 5,Explication,5
206,42,0,Réponse 1,Explication,1
207,42,0,Réponse 2,Explication,2
208,42,1,Réponse 3,Explication,3
209,42,0,Réponse 4,Explication,4
210,42,1,Réponse 5,Explication,5
211,43,1,Réponse 1,Explication,1
212,43,0,Réponse 2,Explication,2
213,43,0,Réponse 3,Explication,3
214,43,0,Réponse 4,Explication,4
215,43,0,Réponse 5,Explication,5
216,44,0,Réponse 1,Explication,1
217,44,1,Réponse 2,Explication,2
218,44,0,Réponse 3,Explication,3
219,44,0,Réponse 4,Explication,4
220,44,0,Réponse 5,Explication,5
221,45,0,Réponse 1,Explication,1
222,45,0,Réponse 2,Explication,2
223,45,0,Réponse 3,Explication,3
224,45,1,Réponse 4,Explication,4
225,45,0,Réponse 5,Explication,5
226,46,1,Réponse 1,Explication,1
227,46,1,Réponse 2,Explication,2
228,46,0,Réponse 3,Explication,3
229,46,0,Réponse 4,Explication,4
230,46,0,Réponse 5,Explication,5
231,47,1,Réponse 1,Explication,1
232,47,0,Réponse 2,Explication,2
233,47,1,Réponse 3,Explication,3
234,47,0,Réponse 4,Explication,4
235,47,0,Réponse 5,Explication,5
236,48,0,Réponse 1,Explication,1
237,48,0,Réponse 2,Explication,2
238,48,1,Réponse 3,Explication,3
239,48,0,Réponse 4,Explication,4
240,48,0,Réponse 5,Explication,5
241,49,0,Réponse 1,Explication,1
242,49,0,Réponse 2,Explication,2
243,49,0,Réponse 3,Explication,3
244,49,1,Réponse 4,Explication,4
245,49,0,Réponse 5,Explication,5
246,50,1,Réponse 1,Explication,1
247,50,0,Réponse 2,Explication,2
248,50,1,Réponse 3,Explication,3
249,50,0,Réponse 4,Explication,4
250,50,0,Réponse 5,Explication,5
251,51,0,Réponse 1,Explication,1
252,51,0,Réponse 2,Explication,2
253,51,0,Réponse 3,Explication,3
254,51,1,Réponse 4,Explication,4
255,51,0,Réponse 5,Explication,5
256,52,0,Réponse 1,Explication,1
257,52,0,Réponse 2,Explication,2
258,52,1,Réponse 3,Explication,3
259,52,1,Réponse 4,Explication,4
260,52,0,Réponse 5,Explication,5
261,53,1,Réponse 1,Explication,1
262,53,0,Réponse 2,Explication,2
263,53,0,Réponse 3,Explication,3
264,53,1,Réponse 4,Explication,4
265,53,0,Réponse 5,Explication,5
266,54,0,Réponse 1,Explication,1
267,54,0,Réponse 2,Explication,2
268,54,0,Réponse 3,Explication,3
269,54,1,Réponse 4,Explication,4
270,54,0,Réponse 5,Explication,5
271,55,0,Réponse 1,Explication,1
272,55,1,Réponse 2,Explication,2
273,55,1,Réponse 3,Explication,3
274,55,0,Réponse 4,Explication,4
275,55,0,Réponse 5,Explication,5
276,56,1,Réponse 1,Explication,1
277,56,0,Réponse 2,Explication,2
278,56,1,Réponse 3,Explication,3
279,56,0,Réponse 4,Explication,4
280,56,0,Réponse 5,Explication,5
281,57,1,Réponse 1,Explication,1
282,57,0,Réponse 2,Explication,2
283,57,0,Réponse 3,Explication,3
284,57,1,Réponse 4,Explication,4
285,57,0,Réponse 5,Explication,5
286,58,0,Réponse 1,Explication,1
287,58,0,Réponse 2,Explication,2
288,58,0,Réponse 3,Explication,3
289,58,0,Réponse 4,Explication,4
290,58,1,Réponse 5,Explication,5
291,59,0,Réponse 1,Explication,1
292,59,0,Réponse 2,Explication,2
293,59,0,Réponse 3,Explication,3
294,59,0,Réponse 4,Explication,4
295,59,1,Réponse 5,Explication,5
296,60,0,Réponse 1,Explication,1
297,60,0,Réponse 2,Explication,2
298,60,1,Réponse 3,Explication,3
299,60,0,Réponse 4,Explication,4
300,60,0,Réponse 5,Explication,5
301,61,1,Réponse 1,Explication,1
302,61,0,Réponse 2,Explication,2
303,61,0,Réponse 3,Explication,3
304,61,1,Réponse 4,Explication,4
305,61,0,Réponse 5,Explication,5
306,62,1,Réponse 1,Explication,1
307,62,0,Réponse 2,Explication,2
308,62,0,Réponse 3,Explication,3
309,62,0,Réponse 4,Explication,4
310,62,1,Réponse 5,Explication,5
311,63,0,Réponse 1,Explication,1
312,63,0,Réponse 2,Explication,2
313,63,0,Réponse 3,Explication,3
314,63,0,Réponse 4,Explication,4
315,63,1,Réponse 5,Explication,5
316,64,0,Réponse 1,Explication,1
317,64,0,Réponse 2,Explication,2
318,64,0,Réponse 3,Explication,3
319,64,1,Réponse 4,Explication,4
320,64,0,Réponse 5,Explication,5
321,65,1,Réponse 1,Explication,1
322,65,0,Réponse 2,Explication,2
323,65,1,Réponse 3,Explication,3
324,65,0,Réponse 4,Explication,4
325,65,0,Réponse 5,Explication,5
326,66,0,Réponse 1,Explication,1
327,66,0,Réponse 2,Explication,2
328,66,0,Réponse 3,Explication,3
329,66,0,Réponse 4,Explication,4
330,66,1,Réponse 5,Explication,5
331,67,0,Réponse 1,Explication,1
332,67,0,Réponse 2,Explication,2
333,67,1,Réponse 3,Explication,3
334,67,0,Réponse 4,Explication,4
335,67,1,Réponse 5,Explication,5
336,68,0,Réponse 1,Explication,1
337,68,1,Réponse 2,Explication,2
338,68,0,Réponse 3,Explication,3
339,68,0,Réponse 4,Explication,4
340,68,1,Réponse 5,Explication,5
341,69,0,Réponse 1,Explication,1
342,69,1,Réponse 2,Explication,2
343,69,0,Réponse 3,Explication,3
344,69,0,Réponse 4,Explication,4
345,69,0,Réponse 5,Explication,5
346,70,1,Réponse 1,Explication,1
347,70,1,Réponse 2,Explication,2
348,70,0,Réponse 3,Explication,3
349,70,0,Réponse 4,Explication,4
350,70,0,Réponse 5,Explication,5
351,71,0,Réponse 1,Explication,1
352,71,1,Réponse 2,Explication,2
353,71,0,Réponse 3,Explication,3
354,71,0,Réponse 4,Explication,4
355,71,1,Réponse 5,Explication,5
356,72,0,Réponse 1,Explication,1
357,72,0,Réponse 2,Explication,2
358,72,1,Réponse 3,Explication,3
359,72,1,Réponse 4,Explication,4
360,72,0,Réponse 5,Explication,5
361,73,0,Réponse 1,Explication,1
362,73,0,Réponse 2,Explication,2
363,73,0,Réponse 3,Explication,3
364,73,0,Réponse 4,Explication,4
365,73,1,Réponse 5,Explication,5
366,74,0,Réponse 1,Explication,1
367,74,1,Réponse 2,Explication,2
368,74,0,Réponse 3,Explication,3
369,74,0,Réponse 4,Explication,4
370,74,0,Réponse 5,Explication,5
371,75,0,Réponse 1,Explication,1
372,75,1,Réponse 2,Explication,2
373,75,0,Réponse 3,Explication,3
374,75,0,Réponse 4,Explication,4
375,75,0,Réponse 5,Explication,5
376,76,0,Réponse 1,Explication,1
377,76,1,Réponse 2,Explication,2
378,76,1,Réponse 3,Explication,3
379,76,0,Réponse 4,Explication,4
380,76,0,Réponse 5,Explication,5
381,77,1,Réponse 1,Explication,1
382,77,1,Réponse 2,Explication,2
383,77,0,Réponse 3,Explication,3
384,77,0,Réponse 4,Explication,4
385,77,0,Réponse 5,Explication,5
386,78,0,Réponse 1,Explication,1
387,78,0,Réponse 2,Explication,2
388,78,0,Réponse 3,Explication,3
389,78,0,Réponse 4,Explication,4
390,78,1,Réponse 5,Explication,5
391,79,0,Réponse 1,Explication,1
392,79,0,Réponse 2,Explication,2
393,79,1,Réponse 3,Explication,3
394,79,0,Réponse 4,Explication,4
395,79,0,Réponse 5,Explication,5
396,80,0,Réponse 1,Explication,1
397,80,1,Réponse 2,Explication,2
398,80,1,Réponse 3,Explication,3
399,80,0,Réponse 4,Explication,4
400,80,0,Réponse 5,Explication,5
401,81,0,Réponse 1,Explication,1
402,81,0,Réponse 2,Explication,2
403,81,0,Réponse 3,Explication,3
404,81,0,Réponse 4,Explication,4
405,81,1,Réponse 5,Explication,5
406,82,0,Réponse 1,Explication,1
407,82,1,Réponse 2,Explication,2
408,82,0,Réponse 3,Explication,3
409,82,1,Réponse 4,Explication,4
410,82,0,Réponse 5,Explication,5
411,83,1,Réponse 1,Explication,1
412,83,0,Réponse 2,Explication,2
413,83,0,Réponse 3,Explication,3
414,83,1,Réponse 4,Explication,4
415,83,0,Réponse 5,Explication,5
416,84,0,Réponse 1,Explication,1
417,84,1,Réponse 2,Explication,2
418,84,0,Réponse 3,Explication,3
419,84,0,Réponse 4,Explication,4
420,84,0,Réponse 5,Explication,5
421,85,1,Réponse 1,Explication,1
422,85,0,Réponse 2,Explication,2
423,85,0,Réponse 3,Explication,3
424,85,1,Réponse 4,Explication,4
425,85,0,Réponse 5,Explication,5
426,86,1,Réponse 1,Explication,1
427,86,0,Réponse 2,Explication,2
428,86,0,Réponse 3,Explication,3
429,86,1,Réponse 4,Explication,4
430,86,0,Réponse 5,Explication,5
431,87,0,Réponse 1,Explication,1
432,87,1,Réponse 2,Explication,2
433,87,1,Réponse 3,Explication,3
434,87,0,Réponse 4,Explication,4
435,87,0,Réponse 5,Explication,5
436,88,1,Réponse 1,Explication,1
437,88,0,Réponse 2,Explication,2
438,88,0,Réponse 3,Explication,3
439,88,0,Réponse 4,Explication,4
440,88,0,Réponse 5,Explication,5
441,89,0,Réponse 1,Explication,1
442,89,0,Réponse 2,Explication,2
443,89,1,Réponse 3,Explication,3
444,89,0,Réponse 4,Explication,4
445,89,0,Réponse 5,Explication,5
446,90,0,Réponse 1,Explication,1
447,90,0,Réponse 2,Explication,2
448,90,1,Réponse 3,Explication,3
449,90,0,Réponse 4,Explication,4
450,90,0,Réponse 5,Explication,5
451,91,0,Réponse 1,Explication,1
452,91,1,Réponse 2,Explication,2
453,91,0,Réponse 3,Explication,3
454,91,1,Réponse 4,Explication,4
455,91,0,Réponse 5,Explication,5
456,92,0,Réponse 1,Explication,1
457,92,1,Réponse 2,Explication,2
458,92,0,Réponse 3,Explication,3
459,92,0,Réponse 4,Explication,4
460,92,1,Réponse 5,Explication,5
461,93,0,Réponse 1,Explication,1
462,93,0,Réponse 2,Explication,2
463,93,1,Réponse 3,Explication,3
464,93,0,Réponse 4,Explication,4
465,93,0,Réponse 5,Explication,5
466,94,0,Réponse 1,Explication,1
467,94,1,Réponse 2,Explication,2
468,94,0,Réponse 3,Explication,3
469,94,0,Réponse 4,Explication,4
470,94,0,Réponse 5,Explication,5
471,95,1,Réponse 1,Explication,1
472,95,0,Réponse 2,Explication,2
473,95,0,Réponse 3,Explication,3
474,95,0,Réponse 4,Explication,4
475,95,1,Réponse 5,Explication,5
476,96,0,Réponse 1,Explication,1
477,96,0,Réponse 2,Explication,2
478,96,1,Réponse 3,Explication,3
479,96,0,Réponse 4,Explication,4
480,96,0,Réponse 5,Explication,5
481,97,1,Réponse 1,Explication,1
482,97,0,Réponse 2,Explication,2
483,97,1,Réponse 3,Explication,3
484,97,0,Réponse 4,Explication,4
485,97,0,Réponse 5,Explication,5
486,98,1,Réponse 1,Explication,1
487,98,1,Réponse 2,Explication,2
488,98,0,Réponse 3,Explication,3
489,98,0,Réponse 4,Explication,4
490,98,0,Réponse 5,Explication,5
491,99,0,Réponse 1,Explication,1
492,99,1,Réponse 2,Explication,2
493,99,0,Réponse 3,Explication,3
494,99,0,Réponse 4,Explication,4
495,99,0,Réponse 5,Explication,5
496,100,0,Réponse 1,Explication,1
497,100,1,Réponse 2,Explication,2
498,100,1,Réponse 3,Explication,3
499,100,0,Réponse 4,Explication,4
500,100,0,Réponse 5,Explication,5
501,101,0,Réponse 1,Explication,1
502,101,1,Réponse 2,Explication,2
503,101,0,Réponse 3,Explication,3
504,101,1,Réponse 4,Explication,4
505,101,0,Réponse 5,Explication,5
506,102,0,Réponse 1,Explication,1
507,102,1,Réponse 2,Explication,2
508,102,0,Réponse 3,Explication,3
509,102,0,Réponse 4,Explication,4
510,102,1,Réponse 5,Explication,5
511,103,0,Réponse 1,Explication,1
512,103,0,Réponse 2,Explication,2
513,103,0,Réponse 3,Explication,3
514,103,0,Réponse 4,Explication,4
515,103,1,Réponse 5,Explication,5
516,104,0,Réponse 1,Explication,1
517,104,1,Réponse 2,Explication,2
518,104,0,Réponse 3,Explication,3
519,104,0,Réponse 4,Explication,4
520,104,0,Réponse 5,Explication,5
521,105,0,Réponse 1,Explication,1
522,105,0,Réponse 2,Explication,2
523,105,0,Réponse 3,Explication,3
524,105,0,Réponse 4,Explication,4
525,105,1,Réponse 5,Explication,5
526,106,0,Réponse 1,Explication,1
527,106,0,Réponse 2,Explication,2
528,106,0,Réponse 3,Explication,3
529,106,1,Réponse 4,Explication,4
530,106,1,Réponse 5,Explication,5
531,107,0,Réponse 1,Explication,1
532,107,0,Réponse 2,Explication,2
533,107,1,Réponse 3,Explication,3
534,107,0,Réponse 4,Explication,4
535,107,1,Réponse 5,Explication,5
536,108,0,Réponse 1,Explication,1
537,108,0,Réponse 2,Explication,2
538,108,0,Réponse 3,Explication,3
539,108,1,Réponse 4,Explication,4
540,108,0,Réponse 5,Explication,5
541,109,0,Réponse 1,Explication,1
542,109,0,Réponse 2,Explication,2
543,109,0,Réponse 3,Explication,3
544,109,0,Réponse 4,Explication,4
545,109,1,Réponse 5,Explication,5
546,110,0,Réponse 1,Explication,1
547,110,1,Réponse 2,Explication,2
548,110,0,Réponse 3,Explication,3
549,110,0,Réponse 4,Explication,4
550,110,1,Réponse 5,Explication,5
551,111,0,Réponse 1,Explication,1
552,111,1,Réponse 2,Explication,2
553,111,0,Réponse 3,Explication,3
554,111,0,Réponse 4,Explication,4
555,111,0,Réponse 5,Explication,5
556,112,1,Réponse 1,Explication,1
557,112,0,Réponse 2,Explication,2
558,112,0,Réponse 3,Explication,3
559,112,1,Réponse 4,Explication,4
560,112,0,Réponse 5,Explication,5
561,113,0,Réponse 1,Explication,1
562,113,0,Réponse 2,Explication,2
563,113,1,Réponse 3,Explication,3
564,113,0,Réponse 4,Explication,4
565,113,1,Réponse 5,Explication,5
566,114,0,Réponse 1,Explication,1
567,114,1,Réponse 2,Explication,2
568,114,0,Réponse 3,Explication,3
569,114,0,Réponse 4,Explication,4
570,114,0,Réponse 5,Explication,5
571,115,0,Réponse 1,Explication,1
572,115,1,Réponse 2,Explication,2
573,115,0,Réponse 3,Explication,3
574,115,1,Réponse 4,Explication,4
575,115,0,Réponse 5,Explication,5
576,116,0,Réponse 1,Explication,1
577,116,1,Réponse 2,Explication,2
578,116,0,Réponse 3,Explication,3
579,116,0,Réponse 4,Explication,4
580,116,1,Réponse 5,Explication,5
581,117,1,Réponse 1,Explication,1
582,117,1,Réponse 2,Explication,2
583,117,0,Réponse 3,Explication,3
584,117,0,Réponse 4,Explication,4
585,117,0,Réponse 5,Explication,5
586,118,0,Réponse 1,Explication,1
587,118,0,Réponse 2,Explication,2
588,118,0,Réponse 3,Explication,3
589,118,0,Réponse 4,Explication,4
590,118,1,Réponse 5,Explication,5
591,119,0,Réponse 1,Explication,1
592,119,0,Réponse 2,Explication,2
593,119,0,Réponse 3,Explication,3
594,119,1,Réponse 4,Explication,4
595,119,0,Réponse 5,Explication,5
596,120,1,Réponse 1,Explication,1
597,120,0,Réponse 2,Explication,2
598,120,0,Réponse 3,Explication,3
599,120,0,Réponse 4,Explication,4
600,120,0,Réponse 5,Explication,5
601,121,1,Réponse 1,Explication,1
602,121,0,Réponse 2,Explication,2
603,121,0,Réponse 3,Explication,3
604,121,1,Réponse 4,Explication,4
605,121,0,Réponse 5,Explication,5
606,122,1,Réponse 1,Explication,1
607,122,1,Réponse 2,Explication,2
608,122,0,Réponse 3,Explication,3
609,122,0,Réponse 4,Explication,4
610,122,0,Réponse 5,Explication,5
611,123,1,Réponse 1,Explication,1
612,123,0,Réponse 2,Explication,2
613,123,0,Réponse 3,Explication,3
614,123,0,Réponse 4,Explication,4
615,123,0,Réponse 5,Explication,5
616,124,0,Réponse 1,Explication,1
617,124,0,Réponse 2,Explication,2
618,124,1,Réponse 3,Explication,3
619,124,0,Réponse 4,Explication,4
620,124,0,Réponse 5,Explication,5
621,125,1,Réponse 1,Explication,1
622,125,0,Réponse 2,Explication,2
623,125,0,Réponse 3,Explication,3
624,125,1,Réponse 4,Explication,4
625,125,0,Réponse 5,Explication,5
626,126,1,Réponse 1,Explication,1
627,126,0,Réponse 2,Explication,2
628,126,0,Réponse 3,Explication,3
629,126,0,Réponse 4,Explication,4
630,126,0,Réponse 5,Explication,5
631,127,0,Réponse 1,Explication,1
632,127,1,Réponse 2,Explication,2
633,127,0,Réponse 3,Explication,3
634,127,0,Réponse 4,Explication,4
635,127,1,Réponse 5,Explication,5
636,128,1,Réponse 1,Explication,1
637,128,0,Réponse 2,Explication,2
638,128,0,Réponse 3,Explication,3
639,128,1,Réponse 4,Explication,4
640,128,0,Réponse 5,Explication,5
641,129,1,Réponse 1,Explication,1
642,129,0,Réponse 2,Explication,2
643,129,0,Réponse 3,Explication,3
644,129,0,Réponse 4,Explication,4
645,129,0,Réponse 5,Explication,5
646,130,1,Réponse 1,Explication,1
647,130,0,Réponse 2,Explication,2
648,130,0,Réponse 3,Explication,3
649,130,1,Réponse 4,Explication,4
650,130,0,Réponse 5,Explication,5
651,131,1,Réponse 1,Explication,1
652,131,1,Réponse 2,Explication,2
653,131,0,Réponse 3,Explication,3
654,131,0,Réponse 4,Explication,4
655,131,0,Réponse 5,Explication,5
656,132,0,Réponse 1,Explication,1
657,132,0,Réponse 2,Explication,2
658,132,0,Réponse 3,Explication,3
659,132,1,Réponse 4,Explication,4
660,132,1,Réponse 5,Explication,5
661,133,0,Réponse 1,Explication,1
662,133,1,Réponse 2,Explication,2
663,133,0,Réponse 3,Explication,3
664,133,0,Réponse 4,Explication,4
665,133,0,Réponse 5,Explication,5
666,134,0,Réponse 1,Explication,1
667,134,0,Réponse 2,Explication,2
668,134,0,Réponse 3,Explication,3
669,134,1,Réponse 4,Explication,4
670,134,0,Réponse 5,Explication,5
671,135,0,Réponse 1,Explication,1
672,135,0,Réponse 2,Explication,2
673,135,0,Réponse 3,Explication,3
674,135,0,Réponse 4,Explication,4
675,135,1,Réponse 5,Explication,5
676,136,0,Réponse 1,Explication,1
677,136,1,Réponse 2,Explication,2
678,136,0,Réponse 3,Explication,3
679,136,1,Réponse 4,Explication,4
680,136,0,Réponse 5,Explication,5
681,137,1,Réponse 1,Explication,1
682,137,0,Réponse 2,Explication,2
683,137,0,Réponse 3,Explication,3
684,137,0,Réponse 4,Explication,4
685,137,1,Réponse 5,Explication,5
686,138,1,Réponse 1,Explication,1
687,138,0,Réponse 2,Explication,2
688,138,0,Réponse 3,Explication,3
689,138,0,Réponse 4,Explication,4
690,138,0,Réponse 5,Explication,5
691,139,0,Réponse 1,Explication,1
692,139,0,Réponse 2,Explication,2
693,139,0,Réponse 3,Explication,3
694,139,1,Réponse 4,Explication,4
695,139,0,Réponse 5,Explication,5
696,140,1,Réponse 1,Explication,1
697,140,0,Réponse 2,Explication,2
698,140,1,Réponse 3,Explication,3
699,140,0,Réponse 4,Explication,4
700,140,0,Réponse 5,Explication,5
701,141,0,Réponse 1,Explication,1
702,141,0,Réponse 2,Explication,2
703,141,1,Réponse 3,Explication,3
704,141,0,Réponse 4,Explication,4
705,141,0,Réponse 5,Explication,5
706,142,0,Réponse 1,Explication,1
707,142,0,Réponse 2,Explication,2
708,142,1,Réponse 3,Explication,3
709,142,1,Réponse 4,Explication,4
710,142,0,Réponse 5,Explication,5
711,143,1,Réponse 1,Explication,1
712,143,0,Réponse 2,Explication,2
713,143,1,Réponse 3,Explication,3
714,143,0,Réponse 4,Explication,4
715,143,0,Réponse 5,Explication,5
716,144,0,Réponse 1,Explication,1
717,144,0,Réponse 2,Explication,2
718,144,0,Réponse 3,Explication,3
719,144,0,Réponse 4,Explication,4
720,144,1,Réponse 5,Explication,5
721,145,1,Réponse 1,Explication,1
722,145,0,Réponse 2,Explication,2
723,145,0,Réponse 3,Explication,3
724,145,0,Réponse 4,Explication,4
725,145,1,Réponse 5,Explication,5
726,146,0,Réponse 1,Explication,1
727,146,1,Réponse 2,Explication,2
728,146,0,Réponse 3,Explication,3
729,146,1,Réponse 4,Explication,4
730,146,0,Réponse 5,Explication,5
731,147,1,Réponse 1,Explication,1
732,147,0,Réponse 2,Explication,2
733,147,0,Réponse 3,Explication,3
734,147,1,Réponse 4,Explication,4
